request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use 3 installments starting 2024-09-07; the plan keeps the IDR 25359500 minimum protected.
request_200,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-10; no eligible plan keeps the IDR 20114600 minimum protected through the 90-day forecast.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,pay IDR 23997000 today while keeping at least IDR 17304500 available.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,pay INR 123900 today while keeping at least INR 147800 available.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use 3 installments starting 2025-05-10; the plan keeps the EUR 1400 minimum protected.
request_204,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-31; no eligible plan keeps the EUR 1300 minimum protected through the 90-day forecast.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,pay IDR 10621000 today while keeping at least IDR 13994300 available.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 installments starting 2025-08-03; the plan keeps the EUR 900 minimum protected.
request_207,6065.4,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 11830 in full so the minimum balance remains protected."
request_208,3414169.76,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 2024-06-15, then pay IDR 4413000 in full so the minimum balance remains protected."
request_209,1808.74,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-25; no eligible plan keeps the ZAR 18400 minimum protected through the 90-day forecast.
request_210,825.21,affordable_with_plan,partial_payment,2026-04-06:825.21|2026-04-15:534.81,2026-04-15,none,"Pay USD 825.21 today and USD 534.81 on 2026-04-15, while protecting the minimum balance."
request_211,479.4,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 1788.60 in full so the minimum balance remains protected."
request_212,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-28; no eligible plan keeps the IDR 29579800 minimum protected through the 90-day forecast.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use 3 installments starting 2026-01-21; the plan keeps the USD 2100 minimum protected.
request_214,67296.69,affordable_with_plan,partial_payment,2024-12-04:67296.69|2024-12-15:2453.31,2024-12-15,none,"Pay INR 67296.69 today and INR 2453.31 on 2024-12-15, while protecting the minimum balance."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 installments starting 2025-05-09; the plan keeps the ZAR 15700 minimum protected.
request_216,710.77,affordable_later,wait,2026-08-15:3332.40,2026-08-15,none,"Wait until 2026-08-15, then pay USD 3332.40 in full so the minimum balance remains protected."
request_217,21558.59,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,Use 3 installments starting 2024-03-19; the plan keeps the ZAR 26800 minimum protected.
request_218,24052155.21,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use 3 installments starting 2025-08-07; the plan keeps the IDR 34477200 minimum protected.
request_219,693.07,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,Use 3 installments starting 2026-04-07; the plan keeps the EUR 1100 minimum protected.
request_220,130.98,not_affordable,not_recommended,none,,none,Do not proceed by 2024-07-03; no eligible plan keeps the EUR 1100 minimum protected through the 90-day forecast.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,pay INR 109800 today while keeping at least INR 81500 available.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,pay ZAR 34078 today while keeping at least ZAR 27300 available.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,pay EUR 898.70 today while keeping at least EUR 800 available.
request_224,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-03-16; no eligible plan keeps the IDR 22187600 minimum protected through the 90-day forecast.
request_225,8614402.49,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Use 3 installments starting 2026-07-20; the plan keeps the IDR 17670700 minimum protected.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,pay INR 157000 today while keeping at least INR 209400 available.
request_227,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-20; no eligible plan keeps the INR 62900 minimum protected through the 90-day forecast.
request_228,3750307.39,not_affordable,not_recommended,none,,none,Do not proceed by 2026-04-30; no eligible plan keeps the IDR 26191200 minimum protected through the 90-day forecast.
request_229,554.33,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Use 3 installments starting 2024-03-18; the plan keeps the EUR 1000 minimum protected.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,pay EUR 3537.60 today while keeping at least EUR 2000 available.
request_231,32087.31,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,Use 3 installments starting 2026-01-06; the plan keeps the ZAR 24300 minimum protected.
request_232,797.65,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1970.10 in full so the minimum balance remains protected."
request_233,5132494.7,affordable_with_plan,partial_payment,2025-11-07:5132494.70|2025-11-15:1108505.30,2025-11-15,none,"Pay IDR 5132494.70 today and IDR 1108505.30 on 2025-11-15, while protecting the minimum balance."
request_234,214.45,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 2026-09-15, then pay EUR 1213.30 in full so the minimum balance remains protected."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,pay USD 967.20 today while keeping at least USD 700 available.
request_236,6420638.01,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-23; no eligible plan keeps the IDR 16768600 minimum protected through the 90-day forecast.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,pay IDR 23826000 today while keeping at least IDR 22431500 available.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 installments starting 2024-12-07; the plan keeps the USD 700 minimum protected.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,pay USD 642 today while keeping at least USD 600 available.
request_240,18578.76,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-20; no eligible plan keeps the INR 52800 minimum protected through the 90-day forecast.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 installments starting 2024-03-17; the plan keeps the IDR 19252000 minimum protected.
request_242,81.77,not_affordable,not_recommended,none,,none,Do not proceed by 2025-08-25; no eligible plan keeps the EUR 600 minimum protected through the 90-day forecast.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,pay ZAR 17468 today while keeping at least ZAR 19900 available.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,pay ZAR 49918 today while keeping at least ZAR 45900 available.
request_245,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-15; no eligible plan keeps the INR 94600 minimum protected through the 90-day forecast.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 installments starting 2026-04-03; the plan keeps the ZAR 39300 minimum protected.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,pay EUR 1059.30 today while keeping at least EUR 1300 available.
request_248,1026.8,affordable_with_plan,partial_payment,2025-02-07:1026.80|2025-03-24:938.80,2025-03-24,none,"Pay USD 1026.80 today and USD 938.80 on 2025-03-24, while protecting the minimum balance."
request_249,152.23,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 2026-03-15, then pay USD 643.20 in full so the minimum balance remains protected."
request_250,17762.28,not_affordable,not_recommended,none,,none,Do not proceed by 2025-01-18; no eligible plan keeps the ZAR 35300 minimum protected through the 90-day forecast.
request_251,723.66,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-06; no eligible plan keeps the EUR 1300 minimum protected through the 90-day forecast.
request_252,5200297.21,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Wait until 2026-08-15, then pay IDR 28082000 in full so the minimum balance remains protected."
request_253,1467.06,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,Use 3 installments starting 2024-03-21; the plan keeps the EUR 2300 minimum protected.
request_254,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-10-15; no eligible plan keeps the USD 2500 minimum protected through the 90-day forecast.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,pay IDR 3345000 today while keeping at least IDR 9813900 available.
request_256,163593.57,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,Use 3 installments starting 2024-06-10; the plan keeps the INR 168600 minimum protected.
request_257,427.77,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 2026-01-15, then pay USD 1352.40 in full so the minimum balance remains protected."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,pay USD 1113.60 today while keeping at least USD 500 available.
request_259,246.42,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 935 in full so the minimum balance remains protected."
request_260,7885608.91,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-18; no eligible plan keeps the IDR 20727700 minimum protected through the 90-day forecast.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,pay EUR 1830.40 today while keeping at least EUR 1500 available.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,pay IDR 9236000 today while keeping at least IDR 31018500 available.
request_263,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-15; no eligible plan keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_264,22782.49,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Wait until 2026-05-15, then pay INR 111300 in full so the minimum balance remains protected."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,pay INR 45970 today while keeping at least INR 189700 available.
request_266,784.16,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use 3 installments starting 2025-08-03; the plan keeps the EUR 900 minimum protected.
request_267,1655.19,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,Use 3 installments starting 2026-01-08; the plan keeps the EUR 1500 minimum protected.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use 3 installments starting 2024-06-14; the plan keeps the EUR 1400 minimum protected.
request_269,10892.84,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Wait until 2025-11-15, then pay ZAR 15490 in full so the minimum balance remains protected."
request_270,255.68,not_affordable,not_recommended,none,,none,Do not proceed by 2026-08-30; no eligible plan keeps the USD 1400 minimum protected through the 90-day forecast.
request_271,8696.95,not_affordable,not_recommended,none,2024-11-20,none,Do not proceed by 2024-11-15; no eligible plan keeps the INR 58200 minimum protected through the 90-day forecast.
request_272,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-10; no eligible plan keeps the IDR 7508600 minimum protected through the 90-day forecast.
request_273,9645522.25,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,Use 3 installments starting 2026-04-07; the plan keeps the IDR 18774600 minimum protected.
request_274,2190.53,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,stop:event_25179,Use 3 installments starting 2024-12-04; the plan keeps the EUR 1800 minimum protected.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,pay IDR 15884000 today while keeping at least IDR 12760100 available.
